회사 (원산지),미화 10억 달러 단위의 소매 수익
Amazon.com(미국),79.27
JD.com Inc.(중국),26.99
Apple Inc.(미국),24.37
"Walmart Stores, Inc.(미국)",13.7
Suning Commerce Group Co. Ltd. (중국),8.1
Otto GmbH & Co KG(독일),7.18
테스코 PLC (영국),6.54
Vipshop Holdings (중국),6.08
리버티 인터랙티브 코퍼레이션(미국),5.15
메이시스(미국),4.85
The Home Depot Inc.(미국),4.69
Best Buy Co. Inc. (영국),4.0
카지노 Guichard-Perrachon S.A.(프랑스),3.76
코스트코 도매사업(미국),3.5
잘란도 SE(독일),3.29
Home Retail Group PLC(영국),3.04
John Lewis Partnership plc (영국),3.0
"Nordstrom, Inc.(미국)",2.83
Kohl's Corporation (미국),2.8
쇼핑 다이렉트 그룹(영국),2.76
